case:concept:name;concept:name;concept:flops;concept:operation;concept:kernel;timestamp:start;timestamp:end
algorithm2_12;gemm_6.75e+04;6.75e+04;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.658507989634336e9;1.658507989634386e9
algorithm2_12;gemm_6.75e+04;6.75e+04;tmp4 = (tmp1 C);gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);1.658507989634386e9;1.658507989634405e9
algorithm2_12;gemm_8.44e+05;8.44e+05;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.658507989634405e9;1.658507989634431e9
algorithm0_12;gemm_6.75e+04;6.75e+04;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.658507989634597e9;1.658507989634611e9
algorithm0_12;gemm_6.75e+04;6.75e+04;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);1.658507989634611e9;1.658507989634617e9
algorithm0_12;gemm_6.75e+04;6.75e+04;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);1.658507989634617e9;1.658507989634624e9
algorithm2_11;gemm_6.75e+04;6.75e+04;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.658507989634758e9;1.658507989634765e9
algorithm2_11;gemm_6.75e+04;6.75e+04;tmp4 = (tmp1 C);gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);1.658507989634765e9;1.658507989634772e9
algorithm2_11;gemm_8.44e+05;8.44e+05;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.658507989634772e9;1.658507989634794e9
algorithm1_12;gemm_6.75e+04;6.75e+04;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.658507989634928e9;1.658507989634935e9
algorithm1_12;gemm_6.75e+04;6.75e+04;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);1.658507989634935e9;1.658507989634942e9
algorithm1_12;gemm_6.75e+04;6.75e+04;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);1.658507989634942e9;1.658507989634949e9
algorithm3_12;gemm_6.75e+04;6.75e+04;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.658507989635148e9;1.658507989635156e9
algorithm3_12;gemm_6.75e+04;6.75e+04;tmp5 = (B tmp3);gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);1.658507989635156e9;1.658507989635178e9
algorithm3_12;gemm_8.44e+05;8.44e+05;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.658507989635178e9;1.658507989635205e9
algorithm0_10;gemm_6.75e+04;6.75e+04;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.658507989635413e9;1.658507989635419e9
algorithm0_10;gemm_6.75e+04;6.75e+04;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);1.658507989635419e9;1.658507989635429e9
algorithm0_10;gemm_6.75e+04;6.75e+04;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);1.658507989635429e9;1.658507989635449e9
algorithm3_10;gemm_6.75e+04;6.75e+04;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.658507989635653e9;1.658507989635663e9
algorithm3_10;gemm_6.75e+04;6.75e+04;tmp5 = (B tmp3);gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);1.658507989635663e9;1.658507989635683e9
algorithm3_10;gemm_8.44e+05;8.44e+05;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.658507989635683e9;1.65850798963571e9
algorithm0_11;gemm_6.75e+04;6.75e+04;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.658507989635916e9;1.658507989635923e9
algorithm0_11;gemm_6.75e+04;6.75e+04;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);1.658507989635923e9;1.658507989635932e9
algorithm0_11;gemm_6.75e+04;6.75e+04;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);1.658507989635932e9;1.658507989635952e9
algorithm1_11;gemm_6.75e+04;6.75e+04;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.658507989636152e9;1.658507989636158e9
algorithm1_11;gemm_6.75e+04;6.75e+04;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);1.658507989636158e9;1.65850798963617e9
algorithm1_11;gemm_6.75e+04;6.75e+04;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);1.65850798963617e9;1.658507989636189e9
algorithm3_11;gemm_6.75e+04;6.75e+04;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.658507989636389e9;1.658507989636399e9
algorithm3_11;gemm_6.75e+04;6.75e+04;tmp5 = (B tmp3);gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);1.658507989636399e9;1.658507989636422e9
algorithm3_11;gemm_8.44e+05;8.44e+05;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.658507989636422e9;1.65850798963645e9
algorithm1_10;gemm_6.75e+04;6.75e+04;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.658507989636651e9;1.658507989636658e9
algorithm1_10;gemm_6.75e+04;6.75e+04;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);1.658507989636658e9;1.658507989636667e9
algorithm1_10;gemm_6.75e+04;6.75e+04;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);1.658507989636667e9;1.658507989636684e9
algorithm2_10;gemm_6.75e+04;6.75e+04;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.658507989636893e9;1.658507989636903e9
algorithm2_10;gemm_6.75e+04;6.75e+04;tmp4 = (tmp1 C);gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);1.658507989636903e9;1.658507989636924e9
algorithm2_10;gemm_8.44e+05;8.44e+05;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.658507989636924e9;1.658507989636951e9
